Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,%Change,Result
2020-02-21,906.98,913.06,880.45,901.0,14314800,0,0,-5.98,-0.66%,0.0
2020-02-24,839.0,863.5,822.2,833.79,15192200,0,0,-5.21,-0.62%,0.0
2020-02-25,849.0,856.6,787.0,799.91,17290500,0,0,-49.09,-5.78%,0.0
2020-02-26,782.5,813.31,776.11,778.8,14085500,0,0,-3.70,-0.47%,0.0
2020-02-27,730.0,739.77,669.0,679.0,24149300,0,0,-51.00,-6.99%,0.0
2020-02-28,629.7,690.52,611.52,667.99,24564200,0,0,38.29,6.08%,1.0
2020-03-02,711.26,743.69,686.67,743.62,20195000,0,0,32.36,4.55%,1.0
2020-03-03,805.0,806.98,716.11,745.51,25784000,0,0,-59.49,-7.39%,0.0
2020-03-04,763.96,766.52,724.73,749.5,15049000,0,0,-14.46,-1.89%,0.0
2020-03-05,723.77,745.75,718.07,724.54,10852700,0,0,0.77,0.11%,1.0
2020-03-06,690.0,707.0,684.27,703.48,12662900,0,0,13.48,1.95%,1.0
2020-03-09,605.39,663.0,605.0,608.0,17073700,0,0,2.61,0.43%,1.0
2020-03-10,659.43,668.0,608.0,645.33,15594400,0,0,-14.10,-2.14%,0.0
2020-03-11,640.2,653.58,613.0,634.23,13322500,0,0,-5.97,-0.93%,0.0
2020-03-12,580.89,594.5,546.25,560.55,18909100,0,0,-20.34,-3.50%,0.0
2020-03-13,595.0,607.57,502.0,546.62,22640300,0,0,-48.38,-8.13%,0.0
2020-03-16,469.5,494.87,442.17,445.07,20489500,0,0,-24.43,-5.20%,0.0
2020-03-17,440.01,471.85,396.0,430.2,23994600,0,0,-9.81,-2.23%,0.0
2020-03-18,389.0,404.86,350.51,361.22,23786200,0,0,-27.78,-7.14%,0.0
2020-03-19,374.7,452.0,358.46,427.64,30195500,0,0,52.94,14.13%,1.0
2020-03-20,438.2,477.0,425.79,427.53,28285500,0,0,-10.67,-2.43%,0.0
2020-03-23,433.6,442.0,410.5,434.29,16454500,0,0,0.69,0.16%,1.0
2020-03-24,477.3,513.69,474.0,505.0,22895200,0,0,27.70,5.80%,1.0
2020-03-25,545.25,557.0,511.11,539.25,21222700,0,0,-6.00,-1.10%,0.0
2020-03-26,547.39,560.0,512.25,528.16,17380700,0,0,-19.23,-3.51%,0.0
2020-03-27,505.0,525.8,494.03,514.36,14377400,0,0,9.36,1.85%,1.0
2020-03-30,510.26,516.65,491.23,502.13,11998100,0,0,-8.13,-1.59%,0.0
2020-03-31,501.25,542.96,497.0,524.0,17771500,0,0,22.75,4.54%,1.0
2020-04-01,504.0,513.95,475.1,481.56,13353200,0,0,-22.44,-4.45%,0.0
2020-04-02,481.03,494.26,446.4,454.47,19858400,0,0,-26.56,-5.52%,0.0
2020-04-03,509.5,515.49,468.39,480.01,22562100,0,0,-29.49,-5.79%,0.0
2020-04-06,511.2,521.0,497.96,516.24,14901800,0,0,5.04,0.99%,1.0
2020-04-07,545.0,565.0,532.34,545.45,17919800,0,0,0.45,0.08%,1.0
2020-04-08,554.2,557.21,533.33,548.84,12656000,0,0,-5.36,-0.97%,0.0
2020-04-09,562.09,575.18,557.11,573.0,13650000,0,0,10.91,1.94%,1.0
2020-04-13,590.16,652.0,580.53,650.95,22475400,0,0,60.79,10.30%,1.0
2020-04-14,698.97,741.88,692.43,709.89,30576500,0,0,10.92,1.56%,1.0
2020-04-15,742.0,753.13,710.0,729.83,23577000,0,0,-12.17,-1.64%,0.0
2020-04-16,716.94,759.45,706.72,745.21,20657900,0,0,28.27,3.94%,1.0
2020-04-17,772.28,774.95,747.66,753.89,13128200,0,0,-18.39,-2.38%,0.0
2020-04-20,732.7,765.57,712.21,746.36,14746600,0,0,13.66,1.86%,1.0
2020-04-21,730.12,753.33,673.79,686.72,20209100,0,0,-43.40,-5.94%,0.0
2020-04-22,703.98,734.0,688.71,732.11,14224800,0,0,28.13,4.00%,1.0
2020-04-23,727.6,734.0,703.13,705.63,13236700,0,0,-21.97,-3.02%,0.0
2020-04-24,710.81,730.73,698.18,725.15,13237600,0,0,14.34,2.02%,1.0
2020-04-27,737.61,799.49,735.0,798.75,20681400,0,0,61.14,8.29%,1.0
2020-04-28,795.64,805.0,756.69,769.12,15222000,0,0,-26.52,-3.33%,0.0
2020-04-29,790.17,803.2,783.16,800.51,16216000,0,0,10.34,1.31%,1.0
2020-04-30,855.19,869.82,763.5,781.88,28400100,0,0,-73.31,-8.57%,0.0
2020-05-01,755.0,772.77,683.04,701.32,32531800,0,0,-53.68,-7.11%,0.0
